pid,start1,end1,period1,start2,end2,period2,start1_refine,period1_refine,start2_refine,end2_refine,period2_refine
01,24,127,103,151,229,78,32,95,151,247,96
02,32,98,66,142,187,45,20,78,129,191,62
03,13,97,84,149,192,43,12,85,141,207,66
04,x,x,x,x,x,x,x,x,x,x,x
05,88,369,281,418,666,248,127,242,418,683,265
06,77,143,66,173,249,76,63,80,173,252,79
07,x,x,x,x,x,x,x,x,x,x,x
09,194,418,224,437,580,143,195,223,437,580,143
10,114,245,131,281,465,184,101,144,279,465,186
100,76,162,86,210,266,56,74,88,210,266,56
11,208,375,167,406,626,220,210,165,406,626,220
12,122,200,78,233,318,85,94,106,233,332,99
13,130,299,169,326,443,117,119,180,326,450,124
16,189,350,161,430,573,143,177,173,430,585,155
17,88,205,117,286,371,85,81,124,265,382,117
18,298,500,202,583,775,192,308,192,583,786,203
19,131,192,61,292,374,82,131,61,283,378,95
20,141,260,119,303,419,116,130,130,303,432,129
21,x,x,x,x,x,x,x,x,x,x,x
22,153,219,66,274,356,82,153,66,263,357,94
24,143,298,155,368,470,102,154,144,351,470,119
25,194,520,326,642,1051,409,229,291,642,1057,415
26,91,229,138,303,461,158,94,135,303,463,160
27,113,243,130,306,450,144,103,140,306,450,144
28,104,175,71,255,337,82,73,102,245,337,92
29,96,235,139,301,416,115,83,152,298,420,122
30,66,131,65,201,240,39,57,74,190,255,65
31,74,236,162,337,438,101,88,148,311,438,127
32,x,x,x,x,x,x,x,x,x,x,x
33,103,305,202,373,479,106,136,169,346,479,133
34,156,330,174,384,623,239,146,184,384,623,239
35,152,386,234,440,697,257,158,228,440,697,257
36,111,379,268,435,635,200,130,249,435,635,200
37,128,275,147,367,456,89,106,169,330,458,128
38,115,262,147,313,517,204,128,134,313,519,206
39,90,202,112,274,353,79,76,126,274,365,91
40,70,144,74,173,244,71,67,77,173,256,83
43,85,177,92,238,311,73,79,98,233,323,90
44,88,152,64,201,263,62,64,88,186,272,86
45,213,334,121,426,521,95,202,132,426,533,107
46,134,531,397,607,804,197,138,393,607,807,200
48,126,210,84,262,406,144,113,97,253,406,153
49,135,366,231,444,578,134,183,183,444,578,134
51,187,350,163,432,578,146,164,186,422,578,156
52,104,210,106,282,410,128,74,136,282,410,128
57,66,138,72,186,240,54,55,83,181,240,59
58,100,148,48,197,225,28,84,64,181,230,49
59,169,334,165,415,622,207,183,151,415,639,224
60,x,x,x,x,x,x,x,x,x,x,x
61,95,185,90,253,344,91,87,98,253,352,99
62,156,390,234,442,521,79,115,275,422,537,115
63,185,267,82,311,390,79,176,91,308,390,82
64,80,146,66,197,246,49,67,79,183,257,74
65,107,415,308,524,659,135,195,220,515,676,161
66,95,324,229,363,449,86,135,189,349,449,100
67,100,191,91,241,284,43,70,121,241,290,49
68,161,338,177,407,563,156,169,169,407,578,171
69,100,216,116,278,321,43,97,119,251,334,83
70,82,140,58,179,234,55,70,70,174,235,61
71,96,166,70,214,260,46,87,79,213,263,50
72,87,161,74,211,280,69,80,81,203,287,84
73,89,176,87,224,352,128,72,104,224,352,128
74,81,208,127,253,342,89,74,134,248,346,98
75,74,145,71,202,231,29,61,84,182,232,50
76,63,125,62,167,220,53,57,68,151,244,93
77,92,205,113,266,319,53,81,124,242,324,82
78,69,161,92,193,296,103,64,97,193,301,108
79,72,168,96,203,248,45,76,92,202,251,49
80,68,150,82,204,275,71,59,91,184,275,91
81,85,195,110,257,336,79,76,119,238,337,99
82,100,211,111,253,357,104,89,122,252,370,118
83,73,154,81,200,246,46,66,88,195,246,51
84,89,137,48,180,225,45,62,75,180,234,54
85,101,255,154,328,448,120,92,163,328,448,120
86,79,150,71,186,365,179,71,79,186,365,179
87,114,217,103,259,328,69,114,103,250,339,89
88,94,163,69,219,278,59,81,82,219,290,71
89,74,152,78,198,258,60,64,88,185,263,78
90,69,140,71,188,226,38,58,82,177,240,63
91,50,129,79,163,220,57,49,80,163,222,59
92,55,127,72,168,220,52,48,79,168,222,54
93,59,155,96,208,258,50,53,102,203,272,69
94,60,120,60,174,234,60,50,70,174,249,75
95,82,186,104,251,301,50,72,114,232,311,79
96,93,180,87,214,342,128,80,100,214,342,128
97,59,160,101,198,283,85,67,93,197,283,86
98,86,164,78,206,309,103,72,92,206,309,103
99,106,242,136,283,393,110,120,122,283,393,110
